"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"226478E","0","0","0","0","0","1","0","20251011","20251227"
"226479E","0","0","0","0","0","1","0","20251011","20251227"
"226481E","0","0","0","0","1","0","0","20251010","20251219"
"226488E","1","1","1","0","0","1","0","20251222","20251231"
"226489E","1","1","1","0","0","1","0","20251222","20251231"
"226490E","1","1","1","0","0","1","0","20251222","20251231"
"226491E","1","1","1","0","0","1","0","20251222","20251231"
"226732E","1","1","1","0","0","0","0","20251222","20251231"
"228498E","0","0","1","0","0","0","0","20251015","20251217"
"228721E","1","1","1","0","0","0","0","20251222","20251231"
"228951E","0","0","0","0","0","0","1","20251012","20251228"
"229072E","0","1","1","1","1","1","0","20251009","20251231"
"229074E","1","1","1","1","1","0","0","20251009","20251231"
"229076E","1","1","1","1","1","0","0","20251009","20251231"
"229077E","1","1","1","1","1","0","0","20251009","20251231"
"229079E","1","1","1","1","1","0","0","20251009","20251231"
"229085E","1","1","1","1","1","1","0","20251009","20251231"
"229086E","1","1","1","1","1","1","0","20251009","20251231"
"229087E","1","1","1","1","1","1","0","20251009","20251231"
"229091E","1","1","1","1","1","1","0","20251009","20251231"
"229093E","1","1","1","1","1","1","1","20251009","20251231"
"229100E","1","1","1","1","1","0","0","20251009","20251219"
"229104E","1","1","1","1","1","0","0","20251009","20251231"
"229106E","1","1","1","1","1","0","0","20251009","20251231"
"229107E","1","1","1","1","1","0","0","20251009","20251231"
"229108E","1","1","1","1","1","0","0","20251009","20251231"
"229113E","1","1","1","1","1","1","0","20251009","20251231"
"229114E","1","1","1","1","1","1","0","20251009","20251231"
"229116E","1","1","1","1","1","1","0","20251009","20251231"
"229118E","1","1","1","1","1","1","0","20251009","20251231"
"229121E","1","1","0","1","1","0","0","20251009","20251219"
"229124E","1","1","1","1","1","0","0","20251009","20251219"
"229130E","1","1","1","1","1","0","0","20251009","20251219"
"229131E","1","1","1","1","1","0","0","20251009","20251219"
"229135E","0","1","1","1","1","0","0","20251009","20251231"
"229140E","1","1","1","1","1","0","0","20251009","20251231"
"229142E","1","1","1","1","1","0","0","20251009","20251219"
"229148E","1","1","1","1","1","0","0","20251009","20251231"
"229149E","1","1","1","1","1","0","0","20251009","20251231"
"229150E","1","1","1","1","1","0","0","20251009","20251219"
"229151E","1","1","1","1","1","0","0","20251009","20251231"
"229155E","1","1","1","1","1","1","0","20251009","20251231"
"229163E","1","1","1","1","0","0","0","20251009","20251218"
"229166E","0","1","1","1","1","0","0","20251009","20251219"
"229170E","1","1","1","1","1","0","0","20251009","20251219"
"229172E","1","1","1","1","1","0","0","20251009","20251219"
"229180E","1","1","1","1","1","0","0","20251009","20251231"
"229184E","1","1","1","1","1","0","0","20251009","20251231"
"229186E","1","1","1","1","1","0","0","20251009","20251231"
"229190E","1","1","1","1","1","1","0","20251009","20251231"
"229195E","1","1","1","1","1","1","0","20251009","20251231"
"229204E","0","1","0","1","1","0","0","20251009","20251219"
"229205E","1","1","1","1","1","0","0","20251009","20251219"
"229212E","0","1","0","0","0","0","0","20251014","20251230"
"229217E","1","1","1","1","1","0","0","20251009","20251231"
"229218E","1","1","1","1","1","0","0","20251009","20251231"
"229219E","1","1","1","1","1","0","0","20251009","20251231"
"229224E","1","1","1","1","1","0","0","20251009","20251231"
"229225E","1","1","1","1","1","0","0","20251009","20251231"
"229232E","1","1","1","1","1","1","0","20251009","20251231"
"229237E","1","1","1","1","1","1","0","20251009","20251231"
"229242E","1","1","1","1","1","1","1","20251009","20251231"
"229244E","0","1","1","0","0","0","0","20251014","20251217"
"229246E","1","1","1","1","1","0","0","20251009","20251219"
"229250E","1","1","1","1","1","1","0","20251009","20251220"
"229261E","1","1","1","1","1","0","0","20251009","20251231"
"229263E","1","1","1","1","1","0","0","20251009","20251231"
"229264E","1","1","1","1","1","0","0","20251009","20251219"
"229265E","1","1","1","1","1","0","0","20251009","20251219"
"229274E","1","1","1","1","1","1","0","20251009","20251231"
"229275E","1","1","1","1","1","1","0","20251009","20251231"
"229277E","1","1","1","1","1","1","0","20251009","20251231"
"229280E","1","1","1","1","1","1","0","20251009","20251231"
"229281E","1","1","1","1","1","1","0","20251009","20251231"
"229284E","1","1","1","1","1","1","0","20251009","20251220"
"229286E","1","1","1","0","1","0","0","20251010","20251219"
"229287E","1","1","0","1","0","0","0","20251009","20251218"
"229288E","0","1","0","1","0","0","0","20251009","20251218"
"229289E","1","1","1","1","1","0","0","20251009","20251219"
"229290E","1","1","1","1","1","0","0","20251009","20251219"
"229292E","1","1","1","1","1","0","0","20251009","20251219"
"229294E","1","1","1","1","1","0","0","20251009","20251219"
"229295E","1","1","1","1","1","0","0","20251009","20251219"
"229298E","1","1","1","1","1","0","0","20251009","20251231"
"229299E","1","1","1","1","1","0","0","20251009","20251231"
"229300E","1","1","1","1","1","0","0","20251009","20251231"
"229303E","1","1","1","1","1","0","0","20251009","20251231"
"229304E","1","1","1","1","1","0","0","20251009","20251231"
"229306E","1","1","1","1","1","0","0","20251009","20251231"
"229309E","1","1","1","1","1","1","0","20251009","20251231"
"229311E","1","1","1","1","1","1","0","20251009","20251231"
"229314E","1","1","0","1","1","0","0","20251009","20251219"
"229315E","0","1","0","0","0","0","0","20251014","20251216"
"229318E","0","1","1","1","1","0","0","20251009","20251219"
"229321E","1","1","1","1","1","0","0","20251009","20251219"
"229322E","1","1","1","1","1","0","0","20251009","20251219"
"229326E","1","1","1","1","1","0","0","20251009","20251219"
"229327E","1","1","1","1","1","0","0","20251009","20251219"
"229329E","1","1","1","1","1","0","0","20251009","20251219"
"229338E","1","1","1","1","1","0","0","20251009","20251231"
"229339E","1","1","1","1","1","0","0","20251009","20251231"
"229342E","0","1","1","1","1","1","0","20251009","20251231"
"229344E","1","1","1","1","1","0","0","20251009","20251231"
"229345E","1","1","1","1","1","1","0","20251009","20251231"
"229347E","1","1","1","1","1","1","0","20251009","20251231"
"229349E","1","1","1","1","1","1","0","20251009","20251231"
"229350E","1","1","1","1","1","1","0","20251009","20251231"
"229353E","1","1","1","1","1","1","0","20251009","20251231"
"229358E","1","1","1","1","1","1","0","20251009","20251231"
"229360E","1","1","1","1","1","1","0","20251009","20251231"
"229365E","1","1","1","1","1","1","1","20251009","20251231"
"229369E","1","1","1","1","1","0","0","20251009","20251219"
"229370E","1","1","1","1","1","0","0","20251009","20251219"
"229372E","1","1","1","1","1","0","0","20251009","20251219"
"229373E","1","1","1","1","1","0","0","20251009","20251219"
"229376E","1","1","1","1","1","0","0","20251009","20251219"
"346626U","0","0","0","0","1","0","0","20251010","20251219"
"346627U","1","0","0","0","0","0","0","20251013","20251229"
"346628U","1","0","0","0","0","0","0","20251013","20251229"
"346629U","1","0","0","0","0","0","0","20251013","20251229"
"346630U","1","0","0","0","0","0","0","20251013","20251229"
"346631U","1","0","0","0","0","0","0","20251013","20251229"
"346632U","0","1","1","1","1","0","0","20251009","20251231"
"346633U","0","1","1","1","1","0","0","20251009","20251231"
"346634U","0","1","1","1","1","0","0","20251009","20251231"
"346635U","0","1","1","1","1","0","0","20251009","20251231"
"346637U","0","0","0","0","0","1","0","20251011","20251227"
"346643U","1","1","1","1","1","0","0","20251009","20251231"
"346645U","1","1","1","1","1","0","0","20251009","20251231"
"346647U","1","1","1","1","1","0","0","20251009","20251231"
"346648U","1","1","1","1","1","0","0","20251009","20251231"
"346649U","1","1","1","1","1","0","0","20251009","20251231"
"346661U","1","1","1","1","1","0","0","20251009","20251231"
"346662U","1","1","1","1","1","0","0","20251009","20251231"
"346664U","1","1","1","1","1","0","0","20251009","20251231"
"346666U","1","1","1","1","1","0","0","20251009","20251231"
"346667U","1","1","1","1","1","0","0","20251009","20251231"
"346668U","1","1","1","1","1","0","0","20251009","20251231"
"346672U","1","1","1","1","1","0","0","20251009","20251231"
"346674U","1","1","1","1","1","0","0","20251009","20251231"
"346676U","1","1","1","1","0","0","0","20251009","20251231"
"387237U","1","1","1","1","0","0","0","20251009","20251231"
"387267U","0","0","0","0","1","0","0","20251010","20251219"
"387331U","1","1","1","1","1","0","0","20251009","20251231"
"401024U","0","0","0","0","0","1","0","20251011","20251227"
"417105U","1","1","1","1","1","0","0","20251009","20251231"
"417106U","0","0","0","0","0","1","0","20251011","20251227"
"417107U","0","0","0","0","0","1","0","20251011","20251227"
"417108U","0","0","0","0","0","1","0","20251011","20251227"
"417109U","1","1","1","1","1","0","0","20251009","20251231"
"417110U","1","1","1","1","1","0","0","20251009","20251231"
"417111U","0","0","0","0","0","1","0","20251011","20251227"
"417112U","1","1","1","1","1","0","0","20251009","20251231"
"417113U","0","0","0","0","0","1","0","20251011","20251227"
"417115U","1","1","1","1","1","0","0","20251009","20251231"
"417116U","1","1","1","1","1","0","0","20251009","20251231"
"417117U","0","0","0","0","0","1","0","20251011","20251227"
"417118U","1","1","1","1","1","0","0","20251009","20251231"
"417119U","1","1","1","1","1","0","0","20251009","20251231"
"417120U","1","1","1","1","1","0","0","20251009","20251231"
"417121U","1","1","1","1","1","0","0","20251009","20251231"
"417122U","0","0","0","0","0","1","0","20251011","20251227"
"417123U","0","0","0","0","0","1","0","20251011","20251227"
"417125U","1","1","1","1","1","0","0","20251009","20251231"
"417126U","1","1","1","1","1","0","0","20251009","20251231"
"417127U","1","1","1","1","1","0","0","20251009","20251231"
"417129U","0","0","0","0","0","1","0","20251011","20251227"
"417130U","0","0","0","0","0","1","0","20251011","20251227"
"417131U","0","0","0","0","0","1","0","20251011","20251227"
"417132U","1","1","1","1","1","0","0","20251009","20251231"
"417133U","0","0","0","0","0","1","0","20251011","20251227"
"417134U","0","0","0","0","0","1","0","20251011","20251227"
"436267U","1","1","1","1","1","0","0","20251009","20251231"
"436268U","1","1","1","1","0","0","0","20251009","20251231"
"436269U","0","0","0","0","1","0","0","20251010","20251219"
"460977U","0","0","0","0","0","0","1","20251012","20251228"
"460978U","0","0","0","0","0","0","1","20251012","20251228"
"460985U","0","0","0","0","1","0","0","20251010","20251219"
"461001U","0","0","0","0","1","0","0","20251010","20251219"
"461048U","0","0","0","0","0","1","0","20251011","20251227"
"461050U","0","0","0","0","0","1","0","20251011","20251227"
"461074U","0","0","0","0","0","0","1","20251012","20251228"
"461075U","0","0","0","0","1","0","0","20251010","20251219"
"461098U","0","0","0","0","0","1","0","20251011","20251227"
"461130U","0","0","0","0","0","0","1","20251012","20251228"
"461149U","0","0","0","0","0","1","0","20251011","20251227"
"461153U","0","0","0","0","0","1","0","20251011","20251227"
"461182U","0","0","0","0","1","0","0","20251010","20251219"
"461191U","0","0","0","0","0","1","0","20251011","20251227"
"461213U","0","0","0","0","0","0","1","20251012","20251228"
"461214U","0","0","0","0","0","0","1","20251012","20251228"
"461215U","0","0","0","0","0","0","1","20251012","20251228"
"461217U","0","0","0","0","1","0","0","20251010","20251219"
"461286U","0","0","0","0","0","1","0","20251011","20251227"
"461291U","0","0","0","0","0","1","0","20251011","20251227"
"461310U","0","0","0","0","0","0","1","20251012","20251228"
"461319U","0","0","0","0","1","0","0","20251010","20251219"
"461332U","0","0","0","0","1","0","0","20251010","20251219"
"461333U","0","0","0","0","1","0","0","20251010","20251219"
"461341U","0","0","0","0","0","1","0","20251011","20251227"
"461542U","0","0","0","0","0","0","1","20251012","20251228"
"461543U","0","0","0","0","1","0","0","20251010","20251219"
"465306U","1","1","1","1","0","0","0","20251009","20251231"
"465307U","0","0","0","0","0","1","0","20251011","20251227"
"465578U","1","1","1","1","1","0","0","20251009","20251231"
"470975U","1","1","1","1","1","0","0","20251009","20251231"
"471071U","1","1","1","1","1","0","0","20251009","20251231"
"475727U","0","0","0","0","1","0","0","20251010","20251219"
"475728U","1","1","1","1","0","0","0","20251009","20251231"
"475729U","0","0","0","0","0","0","1","20251012","20251228"
"493760U","0","0","0","0","1","0","0","20251010","20251219"
"493761U","1","1","1","1","0","0","0","20251009","20251231"
"503220U","1","1","1","1","1","0","0","20251009","20251231"
"513329U","0","0","0","0","1","0","0","20251010","20251219"
"513330U","0","0","0","0","0","0","1","20251012","20251228"
"513331U","0","0","0","0","0","1","0","20251011","20251227"
"519924U","1","1","1","1","1","0","0","20251009","20251231"
"535770U","0","0","0","0","0","1","0","20251011","20251227"
"568372U","0","0","0","0","0","0","1","20251012","20251228"
"568391U","0","0","0","0","0","0","1","20251012","20251228"
"568457U","0","0","0","0","0","1","0","20251011","20251227"
"568511U","0","0","0","0","0","1","0","20251011","20251227"
"580499U","0","1","0","0","0","0","0","20251014","20251230"
"580528U","1","0","1","1","1","0","0","20251009","20251231"
"650798U","0","0","0","0","0","1","0","20251011","20251227"
"650799U","0","0","0","0","0","1","0","20251011","20251227"
"650801U","0","0","0","0","0","1","0","20251011","20251227"
"650802U","0","0","0","0","0","1","0","20251011","20251227"
"650803U","0","0","0","0","0","1","0","20251011","20251227"
"650804U","0","0","0","0","0","1","0","20251011","20251227"
"650824U","1","1","1","1","1","0","0","20251009","20251231"
"650842U","1","1","1","1","1","0","0","20251009","20251231"
"650844U","1","1","1","1","1","0","0","20251009","20251231"
"650845U","1","1","1","1","1","0","0","20251009","20251231"
"650846U","1","1","1","1","1","0","0","20251009","20251231"
"650847U","1","1","1","1","1","0","0","20251009","20251231"
"650854U","0","0","0","0","0","0","1","20251019","20251228"
"650855U","0","0","0","0","0","0","1","20251019","20251228"
"650856U","0","0","0","0","0","0","1","20251019","20251228"
"650857U","0","0","0","0","0","0","1","20251019","20251228"
"650859U","0","0","0","0","0","0","1","20251019","20251228"
"650860U","0","0","0","0","0","0","1","20251019","20251228"
"650863U","0","0","0","0","0","0","1","20251019","20251228"
"650868U","1","1","1","1","1","0","0","20251009","20251231"
"650869U","1","1","1","1","1","0","0","20251009","20251231"
"650888U","0","0","0","0","0","0","1","20251019","20251228"
"650931U","1","1","1","1","1","0","0","20251009","20251231"
"650943U","0","0","1","0","0","0","0","20251015","20251231"
"650950U","0","0","0","0","0","1","0","20251011","20251227"
"650951U","0","0","0","0","0","1","0","20251011","20251227"
"650953U","0","0","0","0","0","1","0","20251011","20251227"
"650992U","1","1","1","1","1","0","0","20251009","20251231"
"650993U","1","1","1","1","1","0","0","20251009","20251231"
"650994U","1","1","1","1","1","0","0","20251009","20251231"
"650995U","1","1","1","1","1","0","0","20251009","20251231"
"651004U","0","0","0","0","0","1","0","20251011","20251227"
"651006U","0","0","0","0","0","0","1","20251019","20251228"
"651009U","0","0","0","0","0","0","1","20251019","20251228"
"651010U","0","0","0","0","0","0","1","20251019","20251228"
"651014U","1","1","1","1","1","0","0","20251009","20251231"
"651015U","1","1","1","1","1","0","0","20251009","20251231"
"651025U","1","1","0","1","1","0","0","20251009","20251230"
"651032U","0","0","0","0","0","0","1","20251019","20251228"
"651083U","1","1","1","1","1","0","0","20251009","20251231"
"651111U","0","0","0","0","0","1","0","20251011","20251227"
"651112U","0","0","0","0","0","1","0","20251011","20251227"
"651113U","0","0","0","0","0","1","0","20251011","20251227"
"651114U","0","0","0","0","0","1","0","20251011","20251227"
"651115U","0","0","0","0","0","1","0","20251011","20251227"
"651116U","0","0","0","0","0","0","1","20251019","20251228"
"651153U","1","1","1","1","1","0","0","20251009","20251231"
"651160U","0","0","0","0","0","0","1","20251019","20251228"
"651164U","0","0","0","0","0","0","1","20251019","20251228"
"651165U","0","0","0","0","0","0","1","20251019","20251228"
"651167U","0","0","0","0","0","0","1","20251019","20251228"
"651171U","1","1","1","1","1","0","0","20251009","20251231"
"651172U","1","1","1","1","1","0","0","20251009","20251231"
"651197U","0","0","0","0","0","0","1","20251019","20251228"
"651200U","0","0","0","0","0","0","1","20251019","20251228"
"651225U","1","0","0","0","0","0","0","20251013","20251229"
"651242U","1","1","1","1","1","0","0","20251009","20251231"
"651243U","1","1","1","1","1","0","0","20251009","20251231"
"651267U","0","0","0","0","0","1","0","20251011","20251227"
"651269U","0","0","0","0","0","1","0","20251011","20251227"
"651270U","0","0","0","0","0","1","0","20251011","20251227"
"651271U","0","0","0","0","0","1","0","20251011","20251227"
"651273U","0","0","0","0","0","1","0","20251011","20251227"
"651275U","0","0","0","0","0","1","0","20251011","20251227"
"651277U","1","1","1","1","1","1","1","20251009","20251231"
"651299U","1","1","1","1","1","0","0","20251009","20251231"
"651302U","1","1","1","1","1","0","0","20251009","20251231"
"651309U","0","0","0","0","0","0","1","20251019","20251228"
"651310U","0","0","0","0","0","0","1","20251019","20251228"
"651311U","0","0","0","0","0","0","1","20251019","20251228"
"651316U","1","1","1","1","1","0","0","20251009","20251231"
"651328U","0","1","0","1","1","0","0","20251009","20251230"
"651372U","0","0","0","0","0","1","0","20251011","20251227"
"651389U","0","0","0","0","0","1","0","20251011","20251227"
"651391U","0","0","0","0","0","1","0","20251011","20251227"
"651392U","1","1","1","1","1","0","0","20251009","20251231"
"651424U","1","1","1","1","1","0","0","20251009","20251231"
"651425U","1","1","1","1","1","0","0","20251009","20251231"
"651426U","1","1","1","1","1","0","0","20251009","20251231"
"651432U","0","0","0","0","0","0","1","20251019","20251228"
"651434U","0","0","0","0","0","0","1","20251019","20251228"
"651436U","0","0","0","0","0","0","1","20251019","20251228"
"651442U","1","1","1","1","1","0","0","20251009","20251231"
"651443U","1","1","1","1","1","0","0","20251009","20251231"
"651498U","0","0","0","0","0","1","0","20251011","20251227"
"651516U","0","0","0","0","0","1","0","20251011","20251227"
"651518U","0","0","0","0","0","1","0","20251011","20251227"
"651519U","0","0","0","0","0","1","0","20251011","20251227"
"651520U","0","0","0","0","0","1","0","20251011","20251227"
"651521U","0","0","0","0","0","1","0","20251011","20251227"
"651544U","1","1","1","1","0","0","0","20251009","20251231"
"651554U","1","1","1","1","1","0","0","20251009","20251231"
"651555U","1","1","1","1","1","0","0","20251009","20251231"
"651557U","1","1","1","1","1","0","0","20251009","20251231"
"651565U","0","0","0","0","0","0","1","20251019","20251228"
"651569U","0","0","0","0","0","0","1","20251019","20251228"
"651605U","0","0","0","0","0","0","1","20251019","20251228"
"651641U","1","1","1","1","1","0","0","20251009","20251231"
"651656U","0","0","1","0","0","0","0","20251015","20251231"
"651669U","0","0","0","0","0","1","0","20251011","20251227"
"651670U","0","0","0","0","0","1","0","20251011","20251227"
"651672U","0","0","0","0","0","1","0","20251011","20251227"
"651673U","0","0","0","0","0","1","0","20251011","20251227"
"651674U","0","0","0","0","0","1","0","20251011","20251227"
"651715U","1","1","1","1","1","0","0","20251009","20251231"
"651716U","1","1","1","1","1","0","0","20251009","20251231"
"651722U","0","0","0","0","0","0","1","20251019","20251228"
"651723U","0","0","0","0","0","0","1","20251019","20251228"
"651729U","1","1","1","1","1","0","0","20251009","20251231"
"651748U","0","0","0","0","0","0","1","20251019","20251228"
"651787U","0","0","0","0","0","1","0","20251011","20251227"
"651788U","0","0","0","0","0","1","0","20251011","20251227"
"651804U","0","0","0","0","0","1","0","20251011","20251227"
"651805U","0","0","0","0","0","1","0","20251011","20251227"
"651806U","0","0","0","0","0","1","0","20251011","20251227"
"651807U","0","0","0","0","0","1","0","20251011","20251227"
"651809U","0","0","0","0","0","1","0","20251011","20251227"
"651850U","1","1","1","1","1","0","0","20251009","20251231"
"651851U","1","1","1","1","1","0","0","20251009","20251231"
"651862U","0","0","0","0","0","0","1","20251019","20251228"
"651863U","0","0","0","0","0","0","1","20251019","20251228"
"651867U","0","0","0","0","0","0","1","20251019","20251228"
"651868U","0","0","0","0","0","0","1","20251019","20251228"
"651869U","0","0","0","0","0","0","1","20251019","20251228"
"651870U","0","0","0","0","0","0","1","20251019","20251228"
"651871U","0","0","0","0","0","0","1","20251019","20251228"
"651879U","1","1","1","1","1","0","0","20251009","20251231"
"651952U","1","1","1","1","1","0","0","20251009","20251231"
"651970U","0","0","0","0","0","1","0","20251011","20251227"
"651971U","0","0","0","0","0","1","0","20251011","20251227"
"651972U","0","0","0","0","0","1","0","20251011","20251227"
"651973U","0","0","0","0","0","1","0","20251011","20251227"
"652006U","1","0","1","1","1","0","0","20251009","20251231"
"652010U","1","1","1","1","1","0","0","20251009","20251231"
"652011U","1","1","1","1","1","0","0","20251009","20251231"
"652015U","1","1","1","1","1","0","0","20251009","20251231"
"652017U","1","1","1","1","1","0","0","20251009","20251231"
"652027U","0","0","0","0","0","0","1","20251019","20251228"
"652029U","0","0","0","0","0","0","1","20251019","20251228"
"652030U","0","0","0","0","0","0","1","20251019","20251228"
"652031U","0","0","0","0","0","0","1","20251019","20251228"
"652033U","0","0","0","0","0","0","1","20251019","20251228"
"652099U","0","1","1","1","1","0","0","20251009","20251231"
"652117U","0","0","0","0","0","1","0","20251011","20251227"
"652118U","0","0","0","0","0","1","0","20251011","20251227"
"652119U","0","0","0","0","0","1","0","20251011","20251227"
"652121U","0","0","0","0","0","1","0","20251011","20251227"
"652123U","0","0","0","0","0","1","0","20251011","20251227"
"652131U","0","0","0","0","0","1","0","20251011","20251227"
"652132U","0","0","0","0","0","1","0","20251011","20251227"
"652174U","1","1","1","1","1","0","0","20251009","20251231"
"652175U","1","1","1","1","1","0","0","20251009","20251231"
"652176U","1","1","1","1","1","0","0","20251009","20251231"
"652177U","1","1","1","1","1","0","0","20251009","20251231"
"652179U","1","1","1","1","1","0","0","20251009","20251231"
"652180U","1","1","1","1","1","0","0","20251009","20251231"
"652189U","0","0","0","0","0","0","1","20251019","20251228"
"652191U","0","0","0","0","0","0","1","20251019","20251228"
"652192U","0","0","0","0","0","0","1","20251019","20251228"
"652193U","0","0","0","0","0","0","1","20251019","20251228"
"652194U","0","0","0","0","0","0","1","20251019","20251228"
