"timetable_id","route_id","direction_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","timetable_label","service_notes","orientation","timetable_page_id","timetable_sequence","direction_name","include_exceptions","show_trip_continuation"
"823","5095E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Forno - Rivarolo","dal lunedì al venerdì","horizontal","5095E_As","0","","0","0"
"824","5095E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Forno - Rivarolo","sabato","horizontal","5095E_As","1","","0","0"
"825","5095E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Forno - Rivarolo","domenica e festivi","horizontal","5095E_As","2","","0","0"
"826","5095E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Rivarolo - Forno","dal lunedì al venerdì","horizontal","5095E_Di","0","","0","0"
"827","5095E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Rivarolo - Forno","sabato","horizontal","5095E_Di","1","","0","0"
"828","5095E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Rivarolo - Forno","domenica e festivi","horizontal","5095E_Di","2","","0","0"
"829","51U","1","20251010","20251130","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: CORSO BOLZANO, PASSAGGI MATTUTINI","frequenza","horizontal","51U_As","0","","0","0"
"830","51U","1","20251010","20251130","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: CORSO BOLZANO, PASSAGGI SERALI","frequenza","horizontal","51U_As","1","","0","0"
"831","51U","1","20251010","20251130","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: CORSO BOLZANO, PASSAGGI MATTUTINI","frequenza","horizontal","51U_As","2","","0","0"
"832","51U","1","20251010","20251130","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: CORSO BOLZANO, PASSAGGI SERALI","frequenza","horizontal","51U_As","3","","0","0"
"833","51U","1","20251010","20251130","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: CORSO BOLZANO, PASSAGGI MATTUTINI","frequenza","horizontal","51U_As","4","","0","0"
"834","51U","1","20251010","20251130","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: CORSO BOLZANO, PASSAGGI SERALI","frequenza","horizontal","51U_As","5","","0","0"
"835","51U","0","20251010","20251130","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: CORSO VERCELLI (PARK STURA), PASSAGGI MATTUTINI","frequenza","horizontal","51U_Di","0","","0","0"
"836","51U","0","20251010","20251130","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: CORSO VERCELLI (PARK STURA), PASSAGGI SERALI","frequenza","horizontal","51U_Di","1","","0","0"
"837","51U","0","20251010","20251130","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: CORSO VERCELLI (PARK STURA), PASSAGGI MATTUTINI","frequenza","horizontal","51U_Di","2","","0","0"
"838","51U","0","20251010","20251130","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: CORSO VERCELLI (PARK STURA), PASSAGGI SERALI","frequenza","horizontal","51U_Di","3","","0","0"
"839","51U","0","20251010","20251130","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: CORSO VERCELLI (PARK STURA), PASSAGGI MATTUTINI","frequenza","horizontal","51U_Di","4","","0","0"
"840","51U","0","20251010","20251130","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: CORSO VERCELLI (PARK STURA), PASSAGGI SERALI","frequenza","horizontal","51U_Di","5","","0","0"
"841","5134E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Cuorgne' - Busano - Forno","dal lunedì al venerdì","horizontal","5134E_As","0","","0","0"
"842","5134E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Cuorgne' - Busano - Forno","sabato","horizontal","5134E_As","1","","0","0"
"843","5134E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Cuorgne' - Busano - Forno","domenica e festivi","horizontal","5134E_As","2","","0","0"
"844","5134E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Forno - Busano - Cuorgne'","dal lunedì al venerdì","horizontal","5134E_Di","0","","0","0"
"845","5134E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Forno - Busano - Cuorgne'","sabato","horizontal","5134E_Di","1","","0","0"
"846","5134E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Forno - Busano - Cuorgne'","domenica e festivi","horizontal","5134E_Di","2","","0","0"
"847","5135E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Rivarolo - San Benigno - Torino","dal lunedì al venerdì","horizontal","5135E_As","0","","0","0"
"848","5135E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Rivarolo - San Benigno - Torino","sabato","horizontal","5135E_As","1","","0","0"
"849","5135E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Rivarolo - San Benigno - Torino","domenica e festivi","horizontal","5135E_As","2","","0","0"
"850","5135E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Rivarolo - San Benigno - Torino","dal lunedì al venerdì","horizontal","5135E_Di","0","","0","0"
"851","5135E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Rivarolo - San Benigno - Torino","sabato","horizontal","5135E_Di","1","","0","0"
"852","5135E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Rivarolo - San Benigno - Torino","domenica e festivi","horizontal","5135E_Di","2","","0","0"
"853","5137E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Rivarolo - Pont - Ceresole","dal lunedì al venerdì","horizontal","5137E_As","0","","0","0"
"854","5137E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Rivarolo - Pont - Ceresole","sabato","horizontal","5137E_As","1","","0","0"
"855","5137E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Rivarolo - Pont - Ceresole","domenica e festivi","horizontal","5137E_As","2","","0","0"
"856","5137E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Rivarolo - Pont - Ceresole","dal lunedì al venerdì","horizontal","5137E_Di","0","","0","0"
"857","5137E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Rivarolo - Pont - Ceresole","sabato","horizontal","5137E_Di","1","","0","0"
"858","5137E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Rivarolo - Pont - Ceresole","domenica e festivi","horizontal","5137E_Di","2","","0","0"
"859","5140E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Valprato Soana - Pont","dal lunedì al venerdì","horizontal","5140E_As","0","","0","0"
"860","5140E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Valprato Soana - Pont","sabato","horizontal","5140E_As","1","","0","0"
"861","5140E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Valprato Soana - Pont","domenica e festivi","horizontal","5140E_As","2","","0","0"
"862","5140E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Pont - Valprato Soana","dal lunedì al venerdì","horizontal","5140E_Di","0","","0","0"
"863","5140E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Pont - Valprato Soana","sabato","horizontal","5140E_Di","1","","0","0"
"864","5140E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Pont - Valprato Soana","domenica e festivi","horizontal","5140E_Di","2","","0","0"
"865","5141E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Frassinetto - Pont","dal lunedì al venerdì","horizontal","5141E_As","0","","0","0"
"866","5141E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Frassinetto - Pont","sabato","horizontal","5141E_As","1","","0","0"
"867","5141E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Frassinetto - Pont","domenica e festivi","horizontal","5141E_As","2","","0","0"
"868","5141E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Pont - Frassinetto","dal lunedì al venerdì","horizontal","5141E_Di","0","","0","0"
"869","5141E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Pont - Frassinetto","sabato","horizontal","5141E_Di","1","","0","0"
"870","5141E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Pont - Frassinetto","domenica e festivi","horizontal","5141E_Di","2","","0","0"
"871","5143E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Cuorgne' - Ivrea","dal lunedì al venerdì","horizontal","5143E_As","0","","0","0"
"872","5143E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Cuorgne' - Ivrea","sabato","horizontal","5143E_As","1","","0","0"
"873","5143E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Cuorgne' - Ivrea","domenica e festivi","horizontal","5143E_As","2","","0","0"
"874","5143E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Cuorgne' - Ivrea","dal lunedì al venerdì","horizontal","5143E_Di","0","","0","0"
"875","5143E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Cuorgne' - Ivrea","sabato","horizontal","5143E_Di","1","","0","0"
"876","5143E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Cuorgne' - Ivrea","domenica e festivi","horizontal","5143E_Di","2","","0","0"
"877","5145E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Rivarolo - Ivrea","dal lunedì al venerdì","horizontal","5145E_As","0","","0","0"
"878","5145E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Rivarolo - Ivrea","sabato","horizontal","5145E_As","1","","0","0"
"879","5145E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Rivarolo - Ivrea","domenica e festivi","horizontal","5145E_As","2","","0","0"
"880","5145E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Ivrea - Rivarolo","dal lunedì al venerdì","horizontal","5145E_Di","0","","0","0"
"881","5145E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Ivrea - Rivarolo","sabato","horizontal","5145E_Di","1","","0","0"
"882","5145E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Ivrea - Rivarolo","domenica e festivi","horizontal","5145E_Di","2","","0","0"
"883","5150E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Castelnuovo Nigra - Cuorgne' Centro","dal lunedì al venerdì","horizontal","5150E_As","0","","0","0"
"884","5150E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Castelnuovo Nigra - Cuorgne' Centro","sabato","horizontal","5150E_As","1","","0","0"
"885","5150E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Castelnuovo Nigra - Cuorgne' Centro","domenica e festivi","horizontal","5150E_As","2","","0","0"
"886","5150E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Cuorgne' Centro - Castelnuovo Nigra ","dal lunedì al venerdì","horizontal","5150E_Di","0","","0","0"
"887","5150E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Cuorgne' Centro - Castelnuovo Nigra ","sabato","horizontal","5150E_Di","1","","0","0"
"888","5150E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Cuorgne' Centro - Castelnuovo Nigra ","domenica e festivi","horizontal","5150E_Di","2","","0","0"
"889","52U","1","20251010","20251130","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: PIAZZALE ADUA, PASSAGGI MATTUTINI","frequenza","horizontal","52U_As","0","","0","0"
"890","52U","1","20251010","20251130","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: PIAZZALE ADUA, PASSAGGI SERALI","frequenza","horizontal","52U_As","1","","0","0"
"891","52U","1","20251010","20251130","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: PIAZZALE ADUA, PASSAGGI MATTUTINI","frequenza","horizontal","52U_As","2","","0","0"
"892","52U","1","20251010","20251130","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: PIAZZALE ADUA, PASSAGGI SERALI","frequenza","horizontal","52U_As","3","","0","0"
"893","52U","1","20251010","20251130","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: PIAZZALE ADUA, PASSAGGI MATTUTINI","frequenza","horizontal","52U_As","4","","0","0"
"894","52U","1","20251010","20251130","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: PIAZZALE ADUA, PASSAGGI SERALI","frequenza","horizontal","52U_As","5","","0","0"
"895","52U","0","20251010","20251130","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: VIA SCIALOJA, PASSAGGI MATTUTINI","frequenza","horizontal","52U_Di","0","","0","0"
"896","52U","0","20251010","20251130","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: VIA SCIALOJA, PASSAGGI SERALI","frequenza","horizontal","52U_Di","1","","0","0"
